@relation inventory-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute class {NEW,USED}
@attribute newInTittle {0,1}
@attribute usedInTittle {0,1}
@attribute newInUrl {0,1}
@attribute usedInUrl {0,1}
@attribute year Numeric

@data
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
USED,0,0,0,1,2011
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
NEW,0,0,1,0,2015
